ID,title,author,rating,genre
139,Bring Me Back,B A Paris,3.8,"Fiction , Mystery &amp, Detective , International Mystery &amp, Crime"
140,Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,4.8,"Comics & Graphic Novels , Science Fiction"
141,Management (The Brian Tracy Success Library),Brian Tracy,,none
142,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4.0,"Fiction , Thrillers , Suspense"
143,Strawberry Shortcake Murder,Joanne Fluke,4.0,none
144,Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,4.1,none
145,Killer Blonde,Laura Levine,4.0,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
146,The Black Box,Michael Connelly,4.0,none
147,Management (The Brian Tracy Success Library),Brian Tracy,,"Business &amp, Economics , General"
148,Legacy,Shannon Messenger,4.9,"Juvenile Fiction , Fantasy &amp, Magic"
149,Gangster: A Novel,Lorenzo Carcaterra,4.5,"Fiction , Mystery &amp, Detective , Hard-Boiled"
150,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,none
151,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,"Fiction , Science Fiction , General"
152,Final Option: 'The best one yet',Clive Cussler,5.0,"Fiction , Thrillers , Suspense"
153,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,none
154,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,"Juvenile Fiction , Fantasy &amp, Magic"
155,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,4.0,"Fiction , Mystery &amp, Detective , Cozy , General"
156,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,"History , Modern , 20th Century"
157,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,"Fiction , Thrillers , Domestic"
158,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,none
159,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,"Fiction , Humorous , General"
